"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Sumter County, AL"	"01119"	462	39567	1167.6	959.7
	"Talladega County, AL"	"01121"	2914	242068	1203.8	1012.2
	"Tallapoosa County, AL"	"01123"	1538	122509	1255.4	942.7
	"Tuscaloosa County, AL"	"01125"	5202	613094	848.5	906.5
	"Walker County, AL"	"01127"	3035	195822	1549.9	1244.8
	"Washington County, AL"	"01129"	649	50548	1283.9	1058.7
	"Wilcox County, AL"	"01131"	441	33044	1334.6	1056.6
	"Winston County, AL"	"01133"	918	71742	1279.6	909.3
	"Aleutians East Borough, AK"	"02013"	29	9909	292.7	381.4
	"Aleutians West Census Area, AK"	"02016"	51	17166	297.1	528.6
	"Anchorage Borough, AK"	"02020"	4999	896933	557.3	719.5
	"Bethel Census Area, AK"	"02050"	338	53867	627.5	1062.4
	"Bristol Bay Borough, AK"	"02060"	22	2732	805.3	869.9
	"Denali Borough, AK"	"02068"	36	5773	623.6	896.7
	"Dillingham Census Area, AK"	"02070"	100	14942	669.3	919.0
	"Fairbanks North Star Borough, AK"	"02090"	1455	299539	485.7	716.0
	"Haines Borough, AK"	"02100"	52	7517	691.8	616.0
	"Hoonah-Angoon Census Area, AK"	"02105"	53	6277	844.4	715.9
	"Juneau Borough, AK"	"02110"	585	97582	599.5	697.5
	"Kenai Peninsula Borough, AK"	"02122"	1324	174176	760.2	732.8
	"Ketchikan Gateway Borough, AK"	"02130"	279	41193	677.3	693.9
	"Kodiak Island Borough, AK"	"02150"	171	41474	412.3	554.9
	"Lake and Peninsula Borough, AK"	"02164"	47	4757	988.0	1402.0
	"Matanuska-Susitna Borough, AK"	"02170"	1728	303681	569.0	764.0
	"Nome Census Area, AK"	"02180"	196	29626	661.6	998.9
	"North Slope Borough, AK"	"02185"	167	29004	575.8	1070.8
	"Northwest Arctic Borough, AK"	"02188"	144	23181	621.2	889.4
	"Petersburg Borough/Census Area, AK"	"02195"	68	9473	717.8	732.5
	"Prince of Wales-Hyder Census Area, AK"	"02198"	150	19100	785.3	1166.7
	"Sitka Borough, AK"	"02220"	189	26557	711.7	654.8
	"Skagway Municipality, AK"	"02230"	11	3177	346.2 (Unreliable)	425.2 (Unreliable)
	"Southeast Fairbanks Census Area, AK"	"02240"	148	20670	716.0	812.7
	"Valdez-Cordova Census Area, AK"	"02261"	198	28116	704.2	907.4
	"Wade Hampton Census Area, AK"	"02270"	158	24221	652.3	1192.8
	"Wrangell City and Borough, AK"	"02275"	61	7187	848.8	665.5
	"Yakutat Borough, AK"	"02282"	10	1863	536.8 (Unreliable)	522.5 (Unreliable)
	"Yukon-Koyukuk Census Area, AK"	"02290"	169	16615	1017.2	946.7
	"Apache County, AZ"	"04001"	2013	216740	928.8	945.3
	"Cochise County, AZ"	"04003"	3863	379486	1018.0	729.1
	"Coconino County, AZ"	"04005"	2399	417679	574.4	662.4
	"Gila County, AZ"	"04007"	2394	159818	1498.0	941.5
	"Graham County, AZ"	"04009"	813	113285	717.7	753.4
	"Greenlee County, AZ"	"04011"	172	28453	604.5	643.6
	"La Paz County, AZ"	"04012"	795	60777	1308.1	750.9
	"Maricopa County, AZ"	"04013"	87913	12488565	703.9	650.0
	"Mohave County, AZ"	"04015"	9154	612399	1494.8	881.2
	"Navajo County, AZ"	"04017"	2881	326567	882.2	815.6
	"Pima County, AZ"	"04019"	27504	3027568	908.5	686.4
	"Pinal County, AZ"	"04021"	8657	1220784	709.1	594.3
	"Santa Cruz County, AZ"	"04023"	872	138509	629.6	538.8
	"Yavapai County, AZ"	"04025"	8680	665551	1304.2	724.8
	"Yuma County, AZ"	"04027"	4372	612448	713.9	567.8
	"Arkansas County, AR"	"05001"	713	55089	1294.3	963.3
	"Ashley County, AR"	"05003"	805	62222	1293.8	1002.6
	"Baxter County, AR"	"05005"	2033	122929	1653.8	847.1
	"Benton County, AR"	"05007"	5346	753133	709.8	716.4
	"Boone County, AR"	"05009"	1361	111739	1218.0	853.1
	"Bradley County, AR"	"05011"	421	33073	1272.9	948.0
	"Calhoun County, AR"	"05013"	194	15528	1249.4	848.7
	"Carroll County, AR"	"05015"	951	83132	1144.0	819.1
	"Chicot County, AR"	"05017"	455	33126	1373.5	950.7
	"Clark County, AR"	"05019"	735	67962	1081.5	916.4
	"Clay County, AR"	"05021"	705	45130	1562.2	1044.0
	"Cleburne County, AR"	"05023"	1117	76403	1462.0	864.1
	"Cleveland County, AR"	"05025"	329	24950	1318.6	1020.8
	"Columbia County, AR"	"05027"	900	72119	1247.9	970.3
	"Conway County, AR"	"05029"	797	62950	1266.1	920.7
	"Craighead County, AR"	"05031"	2760	312818	882.3	872.8
	"Crawford County, AR"	"05033"	1915	186001	1029.6	908.1
	"Crittenden County, AR"	"05035"	1478	147758	1000.3	1008.4
	"Cross County, AR"	"05037"	696	51501	1351.4	1065.3
	"Dallas County, AR"	"05039"	344	22787	1509.6	1009.6
	"Desha County, AR"	"05041"	499	36128	1381.2	1095.7
	"Drew County, AR"	"05043"	654	55995	1168.0	969.8
	"Faulkner County, AR"	"05045"	2806	364253	770.3	876.5
	"Franklin County, AR"	"05047"	741	53102	1395.4	1061.2
	"Fulton County, AR"	"05049"	498	36441	1366.6	814.7
	"Garland County, AR"	"05051"	4122	291814	1412.5	944.8
	"Grant County, AR"	"05053"	616	54171	1137.1	965.2
	"Greene County, AR"	"05055"	1435	132482	1083.2	980.3
	"Hempstead County, AR"	"05057"	702	66301	1058.8	857.1
	"Hot Spring County, AR"	"05059"	1247	100246	1243.9	991.3
	"Howard County, AR"	"05061"	501	40215	1245.8	973.3
	"Independence County, AR"	"05063"	1318	111354	1183.6	934.5
	"Izard County, AR"	"05065"	565	40395	1398.7	838.4
	"Jackson County, AR"	"05067"	687	52136	1317.7	1064.2
	"Jefferson County, AR"	"05069"	2575	214156	1202.4	1027.4
	"Johnson County, AR"	"05071"	787	78320	1004.9	868.2
	"Lafayette County, AR"	"05073"	297	20947	1417.9	944.6
	"Lawrence County, AR"	"05075"	735	50463	1456.5	1035.9
	"Lee County, AR"	"05077"	349	28753	1213.8	935.9
	"Lincoln County, AR"	"05079"	389	41513	937.1	872.4
	"Little River County, AR"	"05081"	513	37421	1370.9	1026.1
	"Logan County, AR"	"05083"	864	65547	1318.1	960.5
	"Lonoke County, AR"	"05085"	1970	215488	914.2	940.4
	"Madison County, AR"	"05087"	552	47503	1162.0	931.2
	"Marion County, AR"	"05089"	772	48960	1576.8	928.5
	"Miller County, AR"	"05091"	1450	131242	1104.8	964.3
	"Mississippi County, AR"	"05093"	1483	130777	1134.0	1070.3
	"Monroe County, AR"	"05095"	374	22196	1685.0	1120.8
	"Montgomery County, AR"	"05097"	423	26958	1569.1	905.5
	"Nevada County, AR"	"05099"	363	25640	1415.8	991.5
	"Newton County, AR"	"05101"	278	23773	1169.4	742.5
	"Ouachita County, AR"	"05103"	1034	73267	1411.3	1030.2
	"Perry County, AR"	"05105"	380	30558	1243.5	940.0
	"Phillips County, AR"	"05107"	793	58447	1356.8	1135.4
	"Pike County, AR"	"05109"	401	32688	1226.7	943.1
	"Poinsett County, AR"	"05111"	1054	72206	1459.7	1210.9
	"Polk County, AR"	"05113"	812	60650	1338.8	915.3
	"Pope County, AR"	"05115"	1731	190365	909.3	838.4
	"Prairie County, AR"	"05117"	333	24845	1340.3	857.7
	"Pulaski County, AR"	"05119"	10909	1178815	925.4	851.5
	"Randolph County, AR"	"05121"	725	52443	1382.5	966.1
	"St. Francis County, AR"	"05123"	813	79800	1018.8	935.8
	"Saline County, AR"	"05125"	3318	351841	943.0	796.0
	"Scott County, AR"	"05127"	378	31446	1202.1	922.3
	"Searcy County, AR"	"05129"	367	23725	1546.9	949.7
	"Sebastian County, AR"	"05131"	3841	382210	1004.9	893.9
	"Sevier County, AR"	"05133"	483	51513	937.6	891.7
	"Sharp County, AR"	"05135"	829	50992	1625.7	989.2
	"Stone County, AR"	"05137"	502	37414	1341.7	834.5
	"Union County, AR"	"05139"	1567	120203	1303.6	1018.7
	"Van Buren County, AR"	"05141"	701	50301	1393.6	825.5
	"Washington County, AR"	"05143"	4654	672173	692.4	787.4
	"White County, AR"	"05145"	2494	236808	1053.2	935.4
	"Woodruff County, AR"	"05147"	318	20254	1570.1	1022.2
	"Yell County, AR"	"05149"	783	65009	1204.4	958.1
	"Alameda County, CA"	"06001"	29156	4889319	596.3	571.3
	"Alpine County, CA"	"06003"	33	3281	1005.8	780.8
	"Amador County, CA"	"06005"	1316	111148	1184.0	692.2
	"Butte County, CA"	"06007"	6963	676089	1029.9	777.5
	"Calaveras County, CA"	"06009"	1473	134600	1094.4	682.9
	"Colusa County, CA"	"06011"	439	64162	684.2	643.7
	"Contra Costa County, CA"	"06013"	22917	3367354	680.6	590.4
	"Del Norte County, CA"	"06015"	870	82093	1059.8	876.7
	"El Dorado County, CA"	"06017"	4557	553015	824.0	618.9
	"Fresno County, CA"	"06019"	19743	2915196	677.2	722.2
	"Glenn County, CA"	"06021"	788	84028	937.8	806.4
	"Humboldt County, CA"	"06023"	3960	406694	973.7	828.3
	"Imperial County, CA"	"06025"	3239	539555	600.3	603.6
	"Inyo County, CA"	"06027"	618	54805	1127.6	699.5
	"Kern County, CA"	"06029"	17605	2636423	667.8	815.6
	"Kings County, CA"	"06031"	2387	449785	530.7	678.7
	"Lake County, CA"	"06033"	2535	192661	1315.8	934.1
	"Lassen County, CA"	"06035"	695	93917	740.0	709.8
	"Los Angeles County, CA"	"06037"	184379	30316785	608.2	585.3
	"Madera County, CA"	"06039"	3199	463074	690.8	704.0
	"Marin County, CA"	"06041"	5738	782221	733.6	472.2
	"Mariposa County, CA"	"06043"	582	52621	1106.0	692.9
	"Mendocino County, CA"	"06045"	2576	262430	981.6	725.5
	"Merced County, CA"	"06047"	5150	800912	643.0	745.8
	"Modoc County, CA"	"06049"	357	26738	1335.2	870.5
	"Mono County, CA"	"06051"	158	41911	377.0	392.5
	"Monterey County, CA"	"06053"	7546	1297141	581.7	570.5
	"Napa County, CA"	"06055"	3640	425117	856.2	621.5
	"Nevada County, CA"	"06057"	2972	296732	1001.6	601.6
	"Orange County, CA"	"06059"	57401	9463543	606.5	551.4
	"Placer County, CA"	"06061"	9321	1125400	828.2	597.8
	"Plumas County, CA"	"06063"	676	55601	1215.8	770.5
	"Riverside County, CA"	"06065"	47525	7063088	672.9	640.6
	"Sacramento County, CA"	"06067"	33618	4489241	748.9	705.8
	"San Benito County, CA"	"06069"	953	175985	541.5	570.1
	"San Bernardino County, CA"	"06071"	40608	6368576	637.6	739.1
	"San Diego County, CA"	"06073"	62340	9866850	631.8	590.3
	"San Francisco County, CA"	"06075"	16955	2583315	656.3	534.2
	"San Joaquin County, CA"	"06077"	16219	2170423	747.3	772.4
	"San Luis Obispo County, CA"	"06079"	7029	842724	834.1	608.5
	"San Mateo County, CA"	"06081"	14072	2284807	615.9	500.5
	"Santa Barbara County, CA"	"06083"	9258	1330538	695.8	585.5
	"Santa Clara County, CA"	"06085"	29891	5719331	522.6	504.2
	"Santa Cruz County, CA"	"06087"	5243	819271	640.0	583.0
	"Shasta County, CA"	"06089"	6661	538649	1236.6	882.3
	"Sierra County, CA"	"06091"	102	8913	1144.4	658.9
	"Siskiyou County, CA"	"06093"	1746	130562	1337.3	865.0
	"Solano County, CA"	"06095"	9545	1304129	731.9	677.3
	"Sonoma County, CA"	"06097"	12153	1503712	808.2	606.4
	"Stanislaus County, CA"	"06099"	12492	1606699	777.5	786.6
	"Sutter County, CA"	"06101"	2440	287865	847.6	741.2
	"Tehama County, CA"	"06103"	1912	189105	1011.1	778.4
	"Trinity County, CA"	"06105"	484	38971	1241.9	815.0
	"Tulare County, CA"	"06107"	8954	1374790	651.3	758.8
	"Tuolumne County, CA"	"06109"	1982	161246	1229.2	756.5
	"Ventura County, CA"	"06111"	16553	2541535	651.3	582.7
	"Yolo County, CA"	"06113"	3827	636741	601.0	630.2
	"Yuba County, CA"	"06115"	1824	223350	816.7	911.3
	"Adams County, CO"	"08001"	8591	1469307	584.7	746.2
	"Alamosa County, CO"	"08003"	409	49373	828.4	850.4
	"Arapahoe County, CO"	"08005"	11238	1884616	596.3	626.1
	"Archuleta County, CO"	"08007"	287	37467	766.0	553.4
	"Baca County, CO"	"08009"	164	10797	1518.9	725.5
	"Bent County, CO"	"08011"	177	17533	1009.5	775.5
	"Boulder County, CO"	"08013"	5341	954168	559.8	564.7
	"Broomfield County, CO"	"08014"	1074	193200	555.9	567.8
	"Chaffee County, CO"	"08015"	559	56112	996.2	643.6
	"Cheyenne County, CO"	"08017"	53	5505	962.8	611.6
	"Clear Creek County, CO"	"08019"	177	28015	631.8	568.6
	"Conejos County, CO"	"08021"	262	24530	1068.1	889.5
	"Costilla County, CO"	"08023"	117	10824	1080.9	723.9
	"Crowley County, CO"	"08025"	133	16941	785.1	806.6
	"Custer County, CO"	"08027"	125	13371	934.9	588.2
	"Delta County, CO"	"08029"	1112	90353	1230.7	762.4
	"Denver County, CO"	"08031"	13591	2035517	667.7	727.0
	"Dolores County, CO"	"08033"	57	6012	948.1	652.1
	"Douglas County, CO"	"08035"	3786	965994	391.9	503.6
	"Eagle County, CO"	"08037"	328	160150	204.8	293.5
	"Elbert County, CO"	"08039"	395	74057	533.4	540.6
	"El Paso County, CO"	"08041"	13067	2025221	645.2	706.5
	"Fremont County, CO"	"08043"	1649	140586	1172.9	806.7
	"Garfield County, CO"	"08045"	985	173850	566.6	650.0
	"Gilpin County, CO"	"08047"	88	17521	502.3	519.5
	"Grand County, CO"	"08049"	204	44049	463.1	522.8
	"Gunnison County, CO"	"08051"	212	48375	438.2	545.8
	"Hinsdale County, CO"	"08053"	15	2335	642.4 (Unreliable)	435.4 (Unreliable)
	"Huerfano County, CO"	"08055"	305	19543	1560.7	892.9
	"Jackson County, CO"	"08057"	36	4104	877.2	618.0
	"Jefferson County, CO"	"08059"	12912	1696056	761.3	664.2
	"Kiowa County, CO"	"08061"	66	4196	1572.9	811.3
	"Kit Carson County, CO"	"08063"	226	24483	923.1	657.0
	"Lake County, CO"	"08065"	130	22430	579.6	667.2
	"La Plata County, CO"	"08067"	1021	164275	621.5	591.6
	"Larimer County, CO"	"08069"	6630	998571	663.9	620.1
	"Las Animas County, CO"	"08071"	529	42242	1252.3	846.0
	"Lincoln County, CO"	"08073"	172	16701	1029.9	706.3
	"Logan County, CO"	"08075"	671	65805	1019.7	758.0
	"Mesa County, CO"	"08077"	4421	445986	991.3	767.7
	"Mineral County, CO"	"08079"	21	2149	977.2	507.6
	"Moffat County, CO"	"08081"	293	38907	753.1	739.9
	"Montezuma County, CO"	"08083"	775	78935	981.8	745.9
	"Montrose County, CO"	"08085"	1329	123018	1080.3	709.2
	"Morgan County, CO"	"08087"	796	84805	938.6	747.4
	"Otero County, CO"	"08089"	734	54986	1334.9	947.2
	"Ouray County, CO"	"08091"	86	14132	608.5	486.2
	"Park County, CO"	"08093"	286	50043	571.5	567.2
	"Phillips County, CO"	"08095"	158	12994	1215.9	744.0
	"Pitkin County, CO"	"08097"	166	53129	312.4	292.5
	"Prowers County, CO"	"08099"	403	35911	1122.2	894.4
	"Pueblo County, CO"	"08101"	5144	489590	1050.7	825.8
	"Rio Blanco County, CO"	"08103"	165	19753	835.3	764.0
	"Rio Grande County, CO"	"08105"	392	34507	1136.0	816.4
	"Routt County, CO"	"08107"	320	73027	438.2	494.8
	"Saguache County, CO"	"08109"	159	18759	847.6	707.6
	"San Juan County, CO"	"08111"	15	2105	712.6 (Unreliable)	668.7 (Unreliable)
	"San Miguel County, CO"	"08113"	67	23621	283.6	296.4
	"Sedgwick County, CO"	"08115"	121	7122	1699.0	905.0
	"Summit County, CO"	"08117"	194	89471	216.8	279.8
	"Teller County, CO"	"08119"	516	70747	729.4	679.6
	"Washington County, CO"	"08121"	169	14552	1161.4	691.7
	"Weld County, CO"	"08123"	5201	856148	607.5	686.6
	"Yuma County, CO"	"08125"	291	30430	956.3	666.3
	"Fairfield County, CT"	"09001"	20380	2832537	719.5	580.5
	"Hartford County, CT"	"09003"	23854	2683339	889.0	674.3
	"Litchfield County, CT"	"09005"	5358	551457	971.6	665.2
	"Middlesex County, CT"	"09007"	4536	491461	923.0	640.9
	"New Haven County, CT"	"09009"	23348	2577482	905.8	692.9
	"New London County, CT"	"09011"	7259	812493	893.4	687.1
	"Tolland County, CT"	"09013"	3064	454560	674.1	602.9
	"Windham County, CT"	"09015"	3139	349726	897.6	759.0
	"Kent County, DE"	"10001"	4702	520309	903.7	795.0
	"New Castle County, DE"	"10003"	13560	1664425	814.7	727.5
	"Sussex County, DE"	"10005"	7454	646355	1153.2	743.4
	"District of Columbia, DC"	"11001"	14631	2010552	727.7	754.0
	"Alachua County, FL"	"12001"	5679	778684	729.3	729.0
	"Baker County, FL"	"12003"	703	82504	852.1	855.9
	"Bay County, FL"	"12005"	5691	544781	1044.6	853.9
	"Bradford County, FL"	"12007"	904	80543	1122.4	849.1
	"Brevard County, FL"	"12009"	21008	1704363	1232.6	753.8
	"Broward County, FL"	"12011"	44362	5662298	783.5	616.3
	"Calhoun County, FL"	"12013"	524	43401	1207.3	925.9
	"Charlotte County, FL"	"12015"	7583	520254	1457.6	632.0
	"Citrus County, FL"	"12017"	7627	423859	1799.4	855.4
	"Clay County, FL"	"12019"	5034	611195	823.6	781.8
	"Collier County, FL"	"12021"	9541	1069605	892.0	442.8
	"Columbia County, FL"	"12023"	2304	205527	1121.0	881.4
	"DeSoto County, FL"	"12027"	956	106249	899.8	653.5
	"Dixie County, FL"	"12029"	666	48391	1376.3	977.5
	"Duval County, FL"	"12031"	23445	2736708	856.7	825.4
	"Escambia County, FL"	"12033"	9818	935872	1049.1	873.7
	"Flagler County, FL"	"12035"	3735	315969	1182.1	661.7
	"Franklin County, FL"	"12037"	423	35328	1197.4	905.7
	"Gadsden County, FL"	"12039"	1376	138159	996.0	842.4
	"Gilchrist County, FL"	"12041"	549	51366	1068.8	767.5
	"Glades County, FL"	"12043"	347	41016	846.0	544.4
	"Gulf County, FL"	"12045"	549	47800	1148.5	893.2
	"Hamilton County, FL"	"12047"	428	42732	1001.6	866.7
	"Hardee County, FL"	"12049"	655	81876	800.0	704.9
	"Hendry County, FL"	"12051"	868	116474	745.2	731.1
	"Hernando County, FL"	"12053"	7784	536856	1449.9	785.7
	"Highlands County, FL"	"12055"	4430	298449	1484.3	681.3
	"Hillsborough County, FL"	"12057"	30936	4040431	765.7	725.9
	"Holmes County, FL"	"12059"	774	58456	1324.1	978.3
	"Indian River County, FL"	"12061"	6100	444095	1373.6	639.3
	"Jackson County, FL"	"12063"	1835	145605	1260.3	925.3
	"Jefferson County, FL"	"12065"	502	42014	1194.8	819.0
	"Lafayette County, FL"	"12067"	202	26077	774.6	710.0
	"Lake County, FL"	"12069"	11842	976571	1212.6	696.7
	"Lee County, FL"	"12071"	20356	2100669	969.0	566.1
	"Leon County, FL"	"12073"	5315	858062	619.4	671.3
	"Levy County, FL"	"12075"	1646	119067	1382.4	920.1
	"Liberty County, FL"	"12077"	197	24870	792.1	836.8
	"Madison County, FL"	"12079"	710	55138	1287.7	978.1
	"Manatee County, FL"	"12081"	11601	1090711	1063.6	626.2
	"Marion County, FL"	"12083"	14537	1031613	1409.2	806.2
	"Martin County, FL"	"12085"	5753	467777	1229.9	571.6
	"Miami-Dade County, FL"	"12086"	58832	8072837	728.8	583.8
	"Monroe County, FL"	"12087"	2226	234715	948.4	663.0
	"Nassau County, FL"	"12089"	2431	235690	1031.4	766.7
	"Okaloosa County, FL"	"12091"	5263	595330	884.0	779.5
	"Okeechobee County, FL"	"12093"	1312	118824	1104.2	849.2
	"Orange County, FL"	"12095"	22891	3852862	594.1	661.9
	"Osceola County, FL"	"12097"	6213	970488	640.2	662.1
	"Palm Beach County, FL"	"12099"	43216	4263179	1013.7	569.3
	"Pasco County, FL"	"12101"	17618	1495107	1178.4	758.2
	"Pinellas County, FL"	"12103"	35054	2846578	1231.4	705.8
	"Polk County, FL"	"12105"	19784	1950506	1014.3	745.7
	"Putnam County, FL"	"12107"	2917	216123	1349.7	932.1
	"St. Johns County, FL"	"12109"	5613	679896	825.6	619.1
	"St. Lucie County, FL"	"12111"	9354	895816	1044.2	659.4
	"Santa Rosa County, FL"	"12113"	4054	500501	810.0	756.1
	"Sarasota County, FL"	"12115"	16501	1214009	1359.2	584.2
	"Seminole County, FL"	"12117"	9998	1346527	742.5	641.3
	"Sumter County, FL"	"12119"	5094	356890	1427.3	598.2
	"Suwannee County, FL"	"12121"	1708	131222	1301.6	923.7
	"Taylor County, FL"	"12123"	781	67265	1161.1	898.4
	"Union County, FL"	"12125"	713	45492	1567.3	1558.2
	"Volusia County, FL"	"12127"	20618	1555467	1325.5	797.7
	"Wakulla County, FL"	"12129"	817	94793	861.9	871.7
	"Walton County, FL"	"12131"	1797	190898	941.3	732.4
	"Washington County, FL"	"12133"	906	73664	1229.9	1011.2
	"Appling County, GA"	"13001"	628	55321	1135.2	967.9
	"Atkinson County, GA"	"13003"	224	24826	902.3	1031.2
	"Bacon County, GA"	"13005"	392	33866	1157.5	1084.1
	"Baker County, GA"	"13007"	102	9568	1066.1	748.4
	"Baldwin County, GA"	"13009"	1300	136414	953.0	902.2
	"Banks County, GA"	"13011"	498	55149	903.0	839.7
	"Barrow County, GA"	"13013"	1684	225215	747.7	842.8
	"Bartow County, GA"	"13015"	2600	308015	844.1	868.4
	"Ben Hill County, GA"	"13017"	665	52037	1277.9	1098.3
	"Berrien County, GA"	"13019"	645	56749	1136.6	952.6
	"Bibb County, GA"	"13021"	5161	460214	1121.4	1008.7
	"Bleckley County, GA"	"13023"	440	38506	1142.7	904.2
	"Brantley County, GA"	"13025"	554	55194	1003.7	908.8
	"Brooks County, GA"	"13027"	578	46913	1232.1	978.5
	"Bryan County, GA"	"13029"	781	105129	742.9	885.3
	"Bulloch County, GA"	"13031"	1529	220670	692.9	876.9
	"Burke County, GA"	"13033"	737	68139	1081.6	1020.5
	"Butts County, GA"	"13035"	783	70742	1106.8	1004.4
	"Calhoun County, GA"	"13037"	187	19212	973.3	892.6
	"Camden County, GA"	"13039"	1043	157563	662.0	783.3
	"Candler County, GA"	"13043"	438	32733	1338.1	1128.8
	"Carroll County, GA"	"13045"	3208	345002	929.8	985.8
	"Catoosa County, GA"	"13047"	1924	197880	972.3	829.3
	"Charlton County, GA"	"13049"	304	38427	791.1	737.2
	"Chatham County, GA"	"13051"	7293	858553	849.5	801.6
	"Chattahoochee County, GA"	"13053"	111	34340	323.2	871.9
	"Chattooga County, GA"	"13055"	987	74555	1323.9	1076.9
	"Cherokee County, GA"	"13057"	4268	707876	602.9	700.1
	"Clarke County, GA"	"13059"	2237	368970	606.3	767.7
	"Clay County, GA"	"13061"	118	9200	1282.6	838.7
	"Clayton County, GA"	"13063"	4777	820605	582.1	824.9
	"Clinch County, GA"	"13065"	242	20538	1178.3	1108.5
	"Cobb County, GA"	"13067"	12666	2217440	571.2	678.7
	"Coffee County, GA"	"13069"	1255	128974	973.1	1024.5
	"Colquitt County, GA"	"13071"	1411	137548	1025.8	978.3
	"Columbia County, GA"	"13073"	2586	430811	600.3	666.1
	"Cook County, GA"	"13075"	559	51548	1084.4	987.8
	"Coweta County, GA"	"13077"	2994	414239	722.8	787.2
	"Crawford County, GA"	"13079"	350	37212	940.6	815.8
	"Crisp County, GA"	"13081"	712	68521	1039.1	849.9
	"Dade County, GA"	"13083"	565	48785	1158.1	940.9
	"Dawson County, GA"	"13085"	623	69751	893.2	820.4
	"Decatur County, GA"	"13087"	935	81274	1150.4	964.4
	"DeKalb County, GA"	"13089"	13039	2195694	593.8	680.9
	"Dodge County, GA"	"13091"	695	62395	1113.9	975.6
	"Dooly County, GA"	"13093"	376	41810	899.3	763.3
	"Dougherty County, GA"	"13095"	2808	273803	1025.6	950.0
	"Douglas County, GA"	"13097"	2841	421342	674.3	831.8
