"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"North Slope Borough, AK"	"02185"	58	29004	200.0	405.6
	"Northwest Arctic Borough, AK"	"02188"	52	23181	224.3	378.4
	"Petersburg Borough/Census Area, AK"	"02195"	31	9473	327.2	343.2
	"Prince of Wales-Hyder Census Area, AK"	"02198"	49	19100	256.5	439.1
	"Sitka Borough, AK"	"02220"	77	26557	289.9	278.8
	"Southeast Fairbanks Census Area, AK"	"02240"	51	20670	246.7	292.7
	"Valdez-Cordova Census Area, AK"	"02261"	64	28116	227.6	349.5
	"Wade Hampton Census Area, AK"	"02270"	43	24221	177.5	479.5
	"Wrangell City and Borough, AK"	"02275"	27	7187	375.7	298.4
	"Yukon-Koyukuk Census Area, AK"	"02290"	42	16615	252.8	230.8
	"Apache County, AZ"	"04001"	602	216740	277.8	278.8
	"Cochise County, AZ"	"04003"	1561	379486	411.3	283.0
	"Coconino County, AZ"	"04005"	793	417679	189.9	228.4
	"Gila County, AZ"	"04007"	972	159818	608.2	345.8
	"Graham County, AZ"	"04009"	317	113285	279.8	295.2
	"Greenlee County, AZ"	"04011"	71	28453	249.5	273.6
	"La Paz County, AZ"	"04012"	370	60777	608.8	285.1
	"Maricopa County, AZ"	"04013"	32694	12488565	261.8	239.8
	"Mohave County, AZ"	"04015"	4081	612399	666.4	366.3
	"Navajo County, AZ"	"04017"	983	326567	301.0	267.2
	"Pima County, AZ"	"04019"	10693	3027568	353.2	254.2
	"Pinal County, AZ"	"04021"	3310	1220784	271.1	222.8
	"Santa Cruz County, AZ"	"04023"	345	138509	249.1	211.4
	"Yavapai County, AZ"	"04025"	3513	665551	527.8	271.0
	"Yuma County, AZ"	"04027"	1786	612448	291.6	220.7
	"Arkansas County, AR"	"05001"	301	55089	546.4	390.9
	"Ashley County, AR"	"05003"	334	62222	536.8	412.8
	"Baxter County, AR"	"05005"	838	122929	681.7	322.2
	"Benton County, AR"	"05007"	2164	753133	287.3	291.7
	"Boone County, AR"	"05009"	673	111739	602.3	402.5
	"Bradley County, AR"	"05011"	191	33073	577.5	418.3
	"Calhoun County, AR"	"05013"	84	15528	541.0	351.2
	"Carroll County, AR"	"05015"	422	83132	507.6	354.0
	"Chicot County, AR"	"05017"	199	33126	600.7	391.8
	"Clark County, AR"	"05019"	331	67962	487.0	397.1
	"Clay County, AR"	"05021"	309	45130	684.7	430.0
	"Cleburne County, AR"	"05023"	467	76403	611.2	341.4
	"Cleveland County, AR"	"05025"	146	24950	585.2	445.4
	"Columbia County, AR"	"05027"	396	72119	549.1	416.4
	"Conway County, AR"	"05029"	365	62950	579.8	410.2
	"Craighead County, AR"	"05031"	1230	312818	393.2	388.2
	"Crawford County, AR"	"05033"	794	186001	426.9	373.0
	"Crittenden County, AR"	"05035"	601	147758	406.7	410.5
	"Cross County, AR"	"05037"	312	51501	605.8	459.9
	"Dallas County, AR"	"05039"	167	22787	732.9	473.5
	"Desha County, AR"	"05041"	262	36128	725.2	560.1
	"Drew County, AR"	"05043"	309	55995	551.8	444.2
	"Faulkner County, AR"	"05045"	1119	364253	307.2	354.6
	"Franklin County, AR"	"05047"	306	53102	576.2	417.2
	"Fulton County, AR"	"05049"	226	36441	620.2	346.2
	"Garland County, AR"	"05051"	1868	291814	640.1	405.6
	"Grant County, AR"	"05053"	243	54171	448.6	383.1
	"Greene County, AR"	"05055"	649	132482	489.9	437.2
	"Hempstead County, AR"	"05057"	337	66301	508.3	402.5
	"Hot Spring County, AR"	"05059"	552	100246	550.6	430.9
	"Howard County, AR"	"05061"	233	40215	579.4	440.6
	"Independence County, AR"	"05063"	646	111354	580.1	443.4
	"Izard County, AR"	"05065"	247	40395	611.5	339.7
	"Jackson County, AR"	"05067"	299	52136	573.5	459.8
	"Jefferson County, AR"	"05069"	1162	214156	542.6	454.7
	"Johnson County, AR"	"05071"	365	78320	466.0	397.3
	"Lafayette County, AR"	"05073"	138	20947	658.8	413.7
	"Lawrence County, AR"	"05075"	328	50463	650.0	439.8
	"Lee County, AR"	"05077"	157	28753	546.0	420.2
	"Lincoln County, AR"	"05079"	181	41513	436.0	404.6
	"Little River County, AR"	"05081"	239	37421	638.7	460.3
	"Logan County, AR"	"05083"	378	65547	576.7	408.8
	"Lonoke County, AR"	"05085"	781	215488	362.4	376.5
	"Madison County, AR"	"05087"	259	47503	545.2	430.3
	"Marion County, AR"	"05089"	336	48960	686.3	375.1
	"Miller County, AR"	"05091"	615	131242	468.6	405.0
	"Mississippi County, AR"	"05093"	642	130777	490.9	467.4
	"Monroe County, AR"	"05095"	164	22196	738.9	468.8
	"Montgomery County, AR"	"05097"	185	26958	686.3	375.7
	"Nevada County, AR"	"05099"	175	25640	682.5	467.0
	"Newton County, AR"	"05101"	142	23773	597.3	367.3
	"Ouachita County, AR"	"05103"	432	73267	589.6	417.1
	"Perry County, AR"	"05105"	169	30558	553.0	410.4
	"Phillips County, AR"	"05107"	318	58447	544.1	451.0
	"Pike County, AR"	"05109"	197	32688	602.7	461.3
	"Poinsett County, AR"	"05111"	479	72206	663.4	540.3
	"Polk County, AR"	"05113"	372	60650	613.4	401.8
	"Pope County, AR"	"05115"	732	190365	384.5	354.0
	"Prairie County, AR"	"05117"	146	24845	587.6	355.6
	"Pulaski County, AR"	"05119"	4324	1178815	366.8	335.1
	"Randolph County, AR"	"05121"	330	52443	629.3	424.6
	"St. Francis County, AR"	"05123"	386	79800	483.7	448.9
	"Saline County, AR"	"05125"	1332	351841	378.6	314.7
	"Scott County, AR"	"05127"	159	31446	505.6	371.8
	"Searcy County, AR"	"05129"	155	23725	653.3	381.7
	"Sebastian County, AR"	"05131"	1662	382210	434.8	383.9
	"Sevier County, AR"	"05133"	210	51513	407.7	383.6
	"Sharp County, AR"	"05135"	404	50992	792.3	468.0
	"Stone County, AR"	"05137"	220	37414	588.0	335.6
	"Union County, AR"	"05139"	603	120203	501.7	381.3
	"Van Buren County, AR"	"05141"	325	50301	646.1	355.3
	"Washington County, AR"	"05143"	2120	672173	315.4	365.8
	"White County, AR"	"05145"	1159	236808	489.4	429.7
	"Woodruff County, AR"	"05147"	155	20254	765.3	483.5
	"Yell County, AR"	"05149"	388	65009	596.8	457.1
	"Alameda County, CA"	"06001"	11431	4889319	233.8	224.5
	"Alpine County, CA"	"06003"	15	3281	457.2 (Unreliable)	301.2 (Unreliable)
	"Amador County, CA"	"06005"	567	111148	510.1	275.6
	"Butte County, CA"	"06007"	2878	676089	425.7	308.2
	"Calaveras County, CA"	"06009"	624	134600	463.6	275.0
	"Colusa County, CA"	"06011"	184	64162	286.8	265.4
	"Contra Costa County, CA"	"06013"	9062	3367354	269.1	230.6
	"Del Norte County, CA"	"06015"	366	82093	445.8	370.2
	"El Dorado County, CA"	"06017"	1806	553015	326.6	239.9
	"Fresno County, CA"	"06019"	8377	2915196	287.4	308.3
	"Glenn County, CA"	"06021"	325	84028	386.8	324.7
	"Humboldt County, CA"	"06023"	1624	406694	399.3	330.1
	"Imperial County, CA"	"06025"	1339	539555	248.2	249.0
	"Inyo County, CA"	"06027"	247	54805	450.7	259.4
	"Kern County, CA"	"06029"	7167	2636423	271.8	344.0
	"Kings County, CA"	"06031"	932	449785	207.2	274.4
	"Lake County, CA"	"06033"	1012	192661	525.3	360.3
	"Lassen County, CA"	"06035"	286	93917	304.5	296.7
	"Los Angeles County, CA"	"06037"	81379	30316785	268.4	257.7
	"Madera County, CA"	"06039"	1326	463074	286.3	294.8
	"Marin County, CA"	"06041"	2202	782221	281.5	173.0
	"Mariposa County, CA"	"06043"	251	52621	477.0	269.7
	"Mendocino County, CA"	"06045"	1044	262430	397.8	284.9
	"Merced County, CA"	"06047"	2088	800912	260.7	309.1
	"Modoc County, CA"	"06049"	160	26738	598.4	351.1
	"Mono County, CA"	"06051"	53	41911	126.5	138.7
	"Monterey County, CA"	"06053"	2847	1297141	219.5	213.5
	"Napa County, CA"	"06055"	1442	425117	339.2	238.8
	"Nevada County, CA"	"06057"	1228	296732	413.8	232.8
	"Orange County, CA"	"06059"	24400	9463543	257.8	232.7
	"Placer County, CA"	"06061"	3678	1125400	326.8	228.2
	"Plumas County, CA"	"06063"	268	55601	482.0	283.3
	"Riverside County, CA"	"06065"	20932	7063088	296.4	281.4
	"Sacramento County, CA"	"06067"	13921	4489241	310.1	291.2
	"San Benito County, CA"	"06069"	373	175985	211.9	228.1
	"San Bernardino County, CA"	"06071"	17085	6368576	268.3	323.5
	"San Diego County, CA"	"06073"	24964	9866850	253.0	234.2
	"San Francisco County, CA"	"06075"	6317	2583315	244.5	193.4
	"San Joaquin County, CA"	"06077"	6665	2170423	307.1	319.8
	"San Luis Obispo County, CA"	"06079"	2902	842724	344.4	240.4
	"San Mateo County, CA"	"06081"	5760	2284807	252.1	200.9
	"Santa Barbara County, CA"	"06083"	3716	1330538	279.3	226.0
	"Santa Clara County, CA"	"06085"	11556	5719331	202.1	194.7
	"Santa Cruz County, CA"	"06087"	1975	819271	241.1	219.3
	"Shasta County, CA"	"06089"	2815	538649	522.6	357.8
	"Sierra County, CA"	"06091"	43	8913	482.4	264.3
	"Siskiyou County, CA"	"06093"	728	130562	557.6	345.0
	"Solano County, CA"	"06095"	3590	1304129	275.3	256.1
	"Sonoma County, CA"	"06097"	4859	1503712	323.1	236.1
	"Stanislaus County, CA"	"06099"	5291	1606699	329.3	334.5
	"Sutter County, CA"	"06101"	1052	287865	365.4	316.1
	"Tehama County, CA"	"06103"	840	189105	444.2	334.3
	"Trinity County, CA"	"06105"	194	38971	497.8	300.5
	"Tulare County, CA"	"06107"	3980	1374790	289.5	346.4
	"Tuolumne County, CA"	"06109"	835	161246	517.8	304.8
	"Ventura County, CA"	"06111"	6659	2541535	262.0	231.9
	"Yolo County, CA"	"06113"	1542	636741	242.2	251.9
	"Yuba County, CA"	"06115"	783	223350	350.6	398.4
	"Adams County, CO"	"08001"	3147	1469307	214.2	285.3
	"Alamosa County, CO"	"08003"	161	49373	326.1	338.3
	"Arapahoe County, CO"	"08005"	3937	1884616	208.9	222.8
	"Archuleta County, CO"	"08007"	113	37467	301.6	219.3
	"Baca County, CO"	"08009"	69	10797	639.1	286.1
	"Bent County, CO"	"08011"	65	17533	370.7	284.7
	"Boulder County, CO"	"08013"	1968	954168	206.3	210.0
	"Broomfield County, CO"	"08014"	369	193200	191.0	198.4
	"Chaffee County, CO"	"08015"	216	56112	384.9	245.5
	"Cheyenne County, CO"	"08017"	25	5505	454.1	295.0
	"Clear Creek County, CO"	"08019"	70	28015	249.9	231.2
	"Conejos County, CO"	"08021"	112	24530	456.6	376.4
	"Costilla County, CO"	"08023"	37	10824	341.8	217.8
	"Crowley County, CO"	"08025"	53	16941	312.9	326.1
	"Custer County, CO"	"08027"	40	13371	299.2	193.9
	"Delta County, CO"	"08029"	459	90353	508.0	298.8
	"Denver County, CO"	"08031"	5040	2035517	247.6	272.4
	"Dolores County, CO"	"08033"	32	6012	532.3	329.3
	"Douglas County, CO"	"08035"	1235	965994	127.8	172.4
	"Eagle County, CO"	"08037"	89	160150	55.6	108.5
	"Elbert County, CO"	"08039"	145	74057	195.8	203.0
	"El Paso County, CO"	"08041"	4827	2025221	238.3	267.3
	"Fremont County, CO"	"08043"	684	140586	486.5	316.6
	"Garfield County, CO"	"08045"	351	173850	201.9	243.4
	"Gilpin County, CO"	"08047"	39	17521	222.6	246.5
	"Grand County, CO"	"08049"	74	44049	168.0	198.0
	"Gunnison County, CO"	"08051"	75	48375	155.0	221.9
	"Huerfano County, CO"	"08055"	110	19543	562.9	262.0
	"Jackson County, CO"	"08057"	19	4104	463.0 (Unreliable)	303.8 (Unreliable)
	"Jefferson County, CO"	"08059"	5119	1696056	301.8	262.1
	"Kiowa County, CO"	"08061"	23	4196	548.1	256.2
	"Kit Carson County, CO"	"08063"	104	24483	424.8	287.0
	"Lake County, CO"	"08065"	52	22430	231.8	265.9
	"La Plata County, CO"	"08067"	402	164275	244.7	236.4
	"Larimer County, CO"	"08069"	2467	998571	247.1	229.4
	"Las Animas County, CO"	"08071"	204	42242	482.9	294.3
	"Lincoln County, CO"	"08073"	75	16701	449.1	295.0
	"Logan County, CO"	"08075"	288	65805	437.7	306.1
	"Mesa County, CO"	"08077"	1822	445986	408.5	305.1
	"Mineral County, CO"	"08079"	12	2149	558.4 (Unreliable)	270.4 (Unreliable)
	"Moffat County, CO"	"08081"	106	38907	272.4	270.6
	"Montezuma County, CO"	"08083"	319	78935	404.1	288.5
	"Montrose County, CO"	"08085"	558	123018	453.6	284.7
	"Morgan County, CO"	"08087"	318	84805	375.0	287.5
	"Otero County, CO"	"08089"	341	54986	620.2	419.9
	"Ouray County, CO"	"08091"	24	14132	169.8	131.3
	"Park County, CO"	"08093"	92	50043	183.8	189.5
	"Phillips County, CO"	"08095"	70	12994	538.7	285.8
	"Pitkin County, CO"	"08097"	50	53129	94.1	84.9
	"Prowers County, CO"	"08099"	162	35911	451.1	352.9
	"Pueblo County, CO"	"08101"	2027	489590	414.0	312.9
	"Rio Blanco County, CO"	"08103"	59	19753	298.7	276.9
	"Rio Grande County, CO"	"08105"	168	34507	486.9	338.2
	"Routt County, CO"	"08107"	101	73027	138.3	167.4
	"Saguache County, CO"	"08109"	61	18759	325.2	269.2
	"San Miguel County, CO"	"08113"	21	23621	88.9	116.7
	"Sedgwick County, CO"	"08115"	56	7122	786.3	380.9
	"Summit County, CO"	"08117"	67	89471	74.9	102.7
	"Teller County, CO"	"08119"	201	70747	284.1	262.8
	"Washington County, CO"	"08121"	74	14552	508.5	273.0
	"Weld County, CO"	"08123"	1903	856148	222.3	259.0
	"Yuma County, CO"	"08125"	106	30430	348.3	231.8
	"Fairfield County, CT"	"09001"	8253	2832537	291.4	226.8
	"Hartford County, CT"	"09003"	9451	2683339	352.2	255.9
	"Litchfield County, CT"	"09005"	2227	551457	403.8	264.0
	"Middlesex County, CT"	"09007"	1670	491461	339.8	228.1
	"New Haven County, CT"	"09009"	9051	2577482	351.2	259.7
	"New London County, CT"	"09011"	2910	812493	358.2	267.3
	"Tolland County, CT"	"09013"	1237	454560	272.1	240.9
	"Windham County, CT"	"09015"	1229	349726	351.4	290.1
	"Kent County, DE"	"10001"	1872	520309	359.8	315.3
	"New Castle County, DE"	"10003"	5271	1664425	316.7	280.0
	"Sussex County, DE"	"10005"	3097	646355	479.1	297.6
	"District of Columbia, DC"	"11001"	5936	2010552	295.2	308.4
	"Alachua County, FL"	"12001"	1909	778684	245.2	243.0
	"Baker County, FL"	"12003"	271	82504	328.5	338.3
	"Bay County, FL"	"12005"	2358	544781	432.8	344.5
	"Bradford County, FL"	"12007"	335	80543	415.9	298.7
	"Brevard County, FL"	"12009"	8660	1704363	508.1	289.5
	"Broward County, FL"	"12011"	19882	5662298	351.1	264.2
	"Calhoun County, FL"	"12013"	220	43401	506.9	384.5
	"Charlotte County, FL"	"12015"	3158	520254	607.0	231.8
	"Citrus County, FL"	"12017"	3791	423859	894.4	371.0
	"Clay County, FL"	"12019"	1944	611195	318.1	304.5
	"Collier County, FL"	"12021"	3876	1069605	362.4	159.5
	"Columbia County, FL"	"12023"	910	205527	442.8	343.5
	"DeSoto County, FL"	"12027"	376	106249	353.9	245.6
	"Dixie County, FL"	"12029"	277	48391	572.4	397.2
	"Duval County, FL"	"12031"	9080	2736708	331.8	321.9
	"Escambia County, FL"	"12033"	3769	935872	402.7	329.0
	"Flagler County, FL"	"12035"	1542	315969	488.0	256.7
	"Franklin County, FL"	"12037"	148	35328	418.9	308.9
	"Gadsden County, FL"	"12039"	529	138159	382.9	322.6
	"Gilchrist County, FL"	"12041"	218	51366	424.4	289.7
	"Glades County, FL"	"12043"	148	41016	360.8	203.3
	"Gulf County, FL"	"12045"	215	47800	449.8	342.4
	"Hamilton County, FL"	"12047"	177	42732	414.2	354.2
	"Hardee County, FL"	"12049"	275	81876	335.9	291.1
	"Hendry County, FL"	"12051"	355	116474	304.8	299.6
	"Hernando County, FL"	"12053"	2995	536856	557.9	281.7
	"Highlands County, FL"	"12055"	2087	298449	699.3	280.9
	"Hillsborough County, FL"	"12057"	11925	4040431	295.1	280.1
	"Holmes County, FL"	"12059"	365	58456	624.4	445.2
	"Indian River County, FL"	"12061"	2443	444095	550.1	229.7
	"Jackson County, FL"	"12063"	712	145605	489.0	350.4
	"Jefferson County, FL"	"12065"	194	42014	461.8	312.7
	"Lafayette County, FL"	"12067"	79	26077	302.9	273.4
	"Lake County, FL"	"12069"	4699	976571	481.2	258.2
	"Lee County, FL"	"12071"	8328	2100669	396.4	212.1
	"Leon County, FL"	"12073"	1934	858062	225.4	247.8
	"Levy County, FL"	"12075"	640	119067	537.5	339.3
	"Liberty County, FL"	"12077"	84	24870	337.8	364.9
	"Madison County, FL"	"12079"	314	55138	569.5	424.1
	"Manatee County, FL"	"12081"	4634	1090711	424.9	223.3
	"Marion County, FL"	"12083"	6279	1031613	608.7	320.4
	"Martin County, FL"	"12085"	2459	467777	525.7	215.8
	"Miami-Dade County, FL"	"12086"	25586	8072837	316.9	246.1
	"Monroe County, FL"	"12087"	846	234715	360.4	241.1
	"Nassau County, FL"	"12089"	947	235690	401.8	288.4
	"Okaloosa County, FL"	"12091"	1987	595330	333.8	293.9
	"Okeechobee County, FL"	"12093"	612	118824	515.0	387.7
	"Orange County, FL"	"12095"	8868	3852862	230.2	264.0
	"Osceola County, FL"	"12097"	2682	970488	276.4	292.3
	"Palm Beach County, FL"	"12099"	18008	4263179	422.4	209.0
	"Pasco County, FL"	"12101"	7083	1495107	473.7	287.9
	"Pinellas County, FL"	"12103"	13151	2846578	462.0	248.0
	"Polk County, FL"	"12105"	8506	1950506	436.1	308.1
	"Putnam County, FL"	"12107"	1131	216123	523.3	347.2
	"St. Johns County, FL"	"12109"	2117	679896	311.4	226.4
	"St. Lucie County, FL"	"12111"	3878	895816	432.9	254.9
	"Santa Rosa County, FL"	"12113"	1574	500501	314.5	298.2
	"Sarasota County, FL"	"12115"	6306	1214009	519.4	194.8
	"Seminole County, FL"	"12117"	4073	1346527	302.5	258.0
	"Sumter County, FL"	"12119"	2008	356890	562.6	213.2
	"Suwannee County, FL"	"12121"	739	131222	563.2	384.5
	"Taylor County, FL"	"12123"	301	67265	447.5	346.9
	"Union County, FL"	"12125"	236	45492	518.8	562.3
	"Volusia County, FL"	"12127"	8919	1555467	573.4	324.7
	"Wakulla County, FL"	"12129"	319	94793	336.5	346.1
	"Walton County, FL"	"12131"	732	190898	383.5	295.6
	"Washington County, FL"	"12133"	388	73664	526.7	428.1
	"Appling County, GA"	"13001"	303	55321	547.7	456.2
	"Atkinson County, GA"	"13003"	88	24826	354.5	415.4
	"Bacon County, GA"	"13005"	172	33866	507.9	480.0
	"Baker County, GA"	"13007"	44	9568	459.9	332.8
	"Baldwin County, GA"	"13009"	563	136414	412.7	388.8
	"Banks County, GA"	"13011"	206	55149	373.5	345.7
	"Barrow County, GA"	"13013"	653	225215	289.9	338.6
	"Bartow County, GA"	"13015"	1049	308015	340.6	353.3
	"Ben Hill County, GA"	"13017"	275	52037	528.5	447.6
	"Berrien County, GA"	"13019"	312	56749	549.8	457.1
	"Bibb County, GA"	"13021"	2351	460214	510.8	453.4
	"Bleckley County, GA"	"13023"	183	38506	475.3	363.9
	"Brantley County, GA"	"13025"	238	55194	431.2	391.9
	"Brooks County, GA"	"13027"	229	46913	488.1	384.3
	"Bryan County, GA"	"13029"	283	105129	269.2	328.6
	"Bulloch County, GA"	"13031"	607	220670	275.1	355.7
	"Burke County, GA"	"13033"	298	68139	437.3	407.7
	"Butts County, GA"	"13035"	318	70742	449.5	405.5
	"Calhoun County, GA"	"13037"	90	19212	468.5	419.4
	"Camden County, GA"	"13039"	428	157563	271.6	328.8
	"Candler County, GA"	"13043"	208	32733	635.4	522.8
	"Carroll County, GA"	"13045"	1291	345002	374.2	406.1
	"Catoosa County, GA"	"13047"	813	197880	410.9	348.6
	"Charlton County, GA"	"13049"	108	38427	281.1	258.7
	"Chatham County, GA"	"13051"	2888	858553	336.4	315.3
	"Chattahoochee County, GA"	"13053"	57	34340	166.0	475.3
	"Chattooga County, GA"	"13055"	439	74555	588.8	468.2
	"Cherokee County, GA"	"13057"	1650	707876	233.1	281.2
	"Clarke County, GA"	"13059"	882	368970	239.0	306.5
	"Clay County, GA"	"13061"	54	9200	587.0	363.7
	"Clayton County, GA"	"13063"	1922	820605	234.2	345.8
	"Clinch County, GA"	"13065"	112	20538	545.3	521.5
	"Cobb County, GA"	"13067"	4669	2217440	210.6	258.9
	"Coffee County, GA"	"13069"	540	128974	418.7	448.0
	"Colquitt County, GA"	"13071"	559	137548	406.4	388.3
	"Columbia County, GA"	"13073"	969	430811	224.9	257.3
	"Cook County, GA"	"13075"	225	51548	436.5	398.5
	"Coweta County, GA"	"13077"	1210	414239	292.1	325.2
	"Crawford County, GA"	"13079"	149	37212	400.4	330.1
	"Crisp County, GA"	"13081"	296	68521	432.0	349.5
	"Dade County, GA"	"13083"	245	48785	502.2	396.1
	"Dawson County, GA"	"13085"	232	69751	332.6	310.1
	"Decatur County, GA"	"13087"	371	81274	456.5	378.7
	"DeKalb County, GA"	"13089"	4701	2195694	214.1	251.9
	"Dodge County, GA"	"13091"	298	62395	477.6	417.5
	"Dooly County, GA"	"13093"	176	41810	421.0	356.5
	"Dougherty County, GA"	"13095"	1105	273803	403.6	369.3
	"Douglas County, GA"	"13097"	1097	421342	260.4	331.8
	"Early County, GA"	"13099"	166	31274	530.8	385.3
	"Echols County, GA"	"13101"	37	12074	306.4	360.9
	"Effingham County, GA"	"13103"	500	171373	291.8	360.2
	"Elbert County, GA"	"13105"	344	57855	594.6	416.8
	"Emanuel County, GA"	"13107"	360	67969	529.7	467.5
	"Evans County, GA"	"13109"	152	32221	471.7	418.2
	"Fannin County, GA"	"13111"	423	72894	580.3	338.8
	"Fayette County, GA"	"13113"	1002	331723	302.1	249.5
	"Floyd County, GA"	"13115"	1416	288924	490.1	405.0
	"Forsyth County, GA"	"13117"	1283	636813	201.5	262.2
	"Franklin County, GA"	"13119"	378	66886	565.1	417.1
	"Fulton County, GA"	"13121"	7253	3025481	239.7	271.1
	"Gilmer County, GA"	"13123"	408	87976	463.8	324.0
	"Glascock County, GA"	"13125"	49	9069	540.3	384.1
	"Glynn County, GA"	"13127"	986	250489	393.6	301.9
	"Gordon County, GA"	"13129"	647	169027	382.8	382.8
	"Grady County, GA"	"13131"	315	75197	418.9	341.2
